principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Acetato De Abiraterona,Outros,16,ABBA; ACETATO DE ABIRATERONA; Balefio,05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 03978166000175 - DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,alta,alta,Medicamento: Acetato De Abiraterona | Principio Ativo: ACETATO DE ABIRATERONA | Classe Terapeutica: AGENTES ANTINEOPLÁSICOS | Categoria: Outros | Produtos Comerciais: ABBA; ACETATO DE ABIRATERONA; Balefio | Total de Produtos: 16,Acetato De Abiraterona - Outros
Acetato De Alfa Tocoferol Canfora Levomentol Mentol Salicilato De Etilenoglicol Salicilato De Metila Timol,Outros,1,SALONPAS,49383250000147 - HISAMITSU FARMACÊUTICA DO BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Alfa Tocoferol Canfora Levomentol Mentol Salicilato De Etilenoglicol Salicilato De Metila Timol | Principio Ativo: ACETATO DE ALFA TOCOFEROL +  CÂNFORA +  LEVOMENTOL +  MENTOL +  SALICILATO DE ETILENOGLICOL +  SALICILATO DE METILA +  TIMOL | Classe Terapeutica: ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS | Categoria: Outros | Produtos Comerciais: SALONPAS | Total de Produtos: 1,Acetato De Alfa Tocoferol Canfora Levomentol Mentol Salicilato De Etilenoglicol Salicilato De Metila Timol - Outros
Acetato De Atosibana,Outros,4,ATTOSY; TRACTOCILE; acetato de atosibana,64171697000146 - ACCORD FARMACÊUTICA LTDA; 74232034000148 - LABORATÓRIOS FERRING LTDA,baixa,media,Medicamento: Acetato De Atosibana | Principio Ativo: ACETATO DE ATOSIBANA | Classe Terapeutica: OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA | Categoria: Outros | Produtos Comerciais: ATTOSY; TRACTOCILE; acetato de atosibana | Total de Produtos: 4,Acetato De Atosibana - Outros
Acetato De Betametasona Fosfato Dissodico De Betametasona,Outros,2,BETA-LONG; CELESTONE SOLUSPAN,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,baixa,Medicamento: Acetato De Betametasona Fosfato Dissodico De Betametasona | Principio Ativo: ACETATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA | Classe Terapeutica: GLICOCORTICOIDES SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS | Categoria: Outros | Produtos Comerciais: BETA-LONG; CELESTONE SOLUSPAN | Total de Produtos: 2,Acetato De Betametasona Fosfato Dissodico De Betametasona - Outros
Acetato De Caspofungina,Outros,6,BERK; CANCIDAS; acetato de caspofungina,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 45987013000134 - ORGANON FARMACÊUTICA LTDA.; 03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.,media,media,Medicamento: Acetato De Caspofungina | Principio Ativo: ACETATO DE CASPOFUNGINA | Classe Terapeutica: ANTI-FUNGICOS | Categoria: Outros | Produtos Comerciais: BERK; CANCIDAS; acetato de caspofungina | Total de Produtos: 6,Acetato De Caspofungina - Outros
Acetato De Cetrorrelix,Endocrino,1,CETROTIDE,33069212000184 - MERCK S/A,baixa,baixa,Medicamento: Acetato De Cetrorrelix | Principio Ativo: ACETATO DE CETRORRELIX | Classe Terapeutica: HORMONIOS DA HIPOFISE | Categoria: Endocrino | Produtos Comerciais: CETROTIDE | Total de Produtos: 1,Acetato De Cetrorrelix - Endocrino
Acetato De Ciproterona,Endocrino,3,ACETATO DE CIPROTERONA + ETINILESTRADIOL; ANDROCUR; acetato de ciproterona,61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA; 18459628000115 - BAYER S.A.,baixa,media,Medicamento: Acetato De Ciproterona | Principio Ativo: ACETATO DE CIPROTERONA | Classe Terapeutica: HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS | Categoria: Endocrino | Produtos Comerciais: ACETATO DE CIPROTERONA + ETINILESTRADIOL; ANDROCUR; acetato de ciproterona | Total de Produtos: 3,Acetato De Ciproterona - Endocrino
Acetato De Ciproterona Etinilestradiol,Outros,23,ACETATO DE CIPROTERONA+ETINILESTRADIOL; ARTEMIDIS 35; DIANE 35,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A; 09545589000188 - MABRA FARMACEUTICA LTDA; 00923140000131 - EMS SIGMA PHARMA LTDA,alta,alta,Medicamento: Acetato De Ciproterona Etinilestradiol | Principio Ativo: ACETATO DE CIPROTERONA +  ETINILESTRADIOL | Classe Terapeutica: ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS | Categoria: Outros | Produtos Comerciais: ACETATO DE CIPROTERONA+ETINILESTRADIOL; ARTEMIDIS 35; DIANE 35 | Total de Produtos: 23,Acetato De Ciproterona Etinilestradiol - Outros
Acetato De Ciproterona Valerato De Estradiol,Outros,1,CLIMENE,18459628000115 - BAYER S.A.,baixa,baixa,Medicamento: Acetato De Ciproterona Valerato De Estradiol | Principio Ativo: ACETATO DE CIPROTERONA +  VALERATO DE ESTRADIOL | Classe Terapeutica: ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS | Categoria: Outros | Produtos Comerciais: CLIMENE | Total de Produtos: 1,Acetato De Ciproterona Valerato De Estradiol - Outros
Acetato De Clormadinona Etinilestradiol,Outros,23,ACETATO DE CLORMADINONA + ETINILESTRADIOL; AIXA; AMORA,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A; 05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA; 45992062000165 - GERMED FARMACEUTICA LTDA,alta,alta,Medicamento: Acetato De Clormadinona Etinilestradiol | Principio Ativo: ACETATO DE CLORMADINONA +  ETINILESTRADIOL | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: ACETATO DE CLORMADINONA + ETINILESTRADIOL; AIXA; AMORA | Total de Produtos: 23,Acetato De Clormadinona Etinilestradiol - Outros
Acetato De Clostebol Sulfato De Neomicina,Outros,1,ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Acetato De Clostebol Sulfato De Neomicina | Principio Ativo: ACETATO DE CLOSTEBOL +  SULFATO DE NEOMICINA | Classe Terapeutica: CERATOLITICOS E CERATOPLASTICOS | Categoria: Outros | Produtos Comerciais: ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA | Total de Produtos: 1,Acetato De Clostebol Sulfato De Neomicina - Outros
Acetato De Degarelix,Analgesico,1,FIRMAGON,74232034000148 - LABORATÓRIOS FERRING LTDA,baixa,baixa,Medicamento: Acetato De Degarelix | Principio Ativo: ACETATO DE DEGARELIX | Classe Terapeutica: OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES | Categoria: Analgesico | Produtos Comerciais: FIRMAGON | Total de Produtos: 1,Acetato De Degarelix - Analgesico
Acetato De Desmopressina,Analgesico,5,DDAVP; EPONIM; FURP-DESMOPRESSINA,74232034000148 - LABORATÓRIOS FERRING LTDA; 43640754000119 - FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP; 61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,media,alta,Medicamento: Acetato De Desmopressina | Principio Ativo: ACETATO DE DESMOPRESSINA | Classe Terapeutica: OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES | Categoria: Analgesico | Produtos Comerciais: DDAVP; EPONIM; FURP-DESMOPRESSINA | Total de Produtos: 5,Acetato De Desmopressina - Analgesico
Acetato De Dexametasona,Outros,24,ACETATO DE DEXAMETASONA; Acetato de Dexametasona; CETADEX,73856593000166 - PRATI DONADUZZI & CIA LTDA; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 57507378000365 - EMS S/A,alta,alta,Medicamento: Acetato De Dexametasona | Principio Ativo: ACETATO DE DEXAMETASONA | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: ACETATO DE DEXAMETASONA; Acetato de Dexametasona; CETADEX | Total de Produtos: 24,Acetato De Dexametasona - Outros
Acetato De Dexametasona Cera Auto Emulsionante,Outros,1,DEXAGREEN,33408105000133 - GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Dexametasona Cera Auto Emulsionante | Principio Ativo: ACETATO DE DEXAMETASONA +  CERA AUTO EMULSIONANTE | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: DEXAGREEN | Total de Produtos: 1,Acetato De Dexametasona Cera Auto Emulsionante - Outros
Acetato De Dexametasona Cianocobalamina Dexametasona Fosfato Dissodico Dipirona Hidroxocobalamina Acido Silicico Coloidal,Outros,1,DEXALGEN,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,baixa,baixa,Medicamento: Acetato De Dexametasona Cianocobalamina Dexametasona Fosfato Dissodico Dipirona Hidroxocobalamina Acido Silicico Coloidal | Principio Ativo: ACETATO DE DEXAMETASONA +  CIANOCOBALAMINA +  DEXAMETASONA FOSFATO DISSÓDICO +  DIPIRONA +  HIDROXOCOBALAMINA +  ÁCIDO SILÍCICO COLOIDAL | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: DEXALGEN | Total de Produtos: 1,Acetato De Dexametasona Cianocobalamina Dexametasona Fosfato Dissodico Dipirona Hidroxocobalamina Acido Silicico Coloidal - Outros
Acetato De Dexametasona Clotrimazol,Dermatologico,4,BAYCUTEN N; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; clotrimazol + acetato de dexametasona,18459628000115 - BAYER S.A.; 73856593000166 - PRATI DONADUZZI & CIA LTDA; 45992062000165 - GERMED FARMACEUTICA LTDA,baixa,media,Medicamento: Acetato De Dexametasona Clotrimazol | Principio Ativo: ACETATO DE DEXAMETASONA +  CLOTRIMAZOL | Classe Terapeutica: GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA | Categoria: Dermatologico | Produtos Comerciais: BAYCUTEN N; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; clotrimazol + acetato de dexametasona | Total de Produtos: 4,Acetato De Dexametasona Clotrimazol - Dermatologico
Acetato De Dexametasona Dexametasona,Outros,1,ACETAZONA,06597801000162 - THEODORO F SOBRAL & CIA LTDA,baixa,baixa,Medicamento: Acetato De Dexametasona Dexametasona | Principio Ativo: ACETATO DE DEXAMETASONA +  DEXAMETASONA | Classe Terapeutica: GLICOCORTICOIDES SISTEMICOS | Categoria: Outros | Produtos Comerciais: ACETAZONA | Total de Produtos: 1,Acetato De Dexametasona Dexametasona - Outros
Acetato De Dexametasona Dexametasona Fumarato De Clemastina,Outros,1,EMISTIN,57507378000365 - EMS S/A,baixa,baixa,Medicamento: Acetato De Dexametasona Dexametasona Fumarato De Clemastina | Principio Ativo: ACETATO DE DEXAMETASONA +  DEXAMETASONA +  FUMARATO DE CLEMASTINA | Classe Terapeutica: ANTI-HISTAMINICOS SISTEMICOS | Categoria: Outros | Produtos Comerciais: EMISTIN | Total de Produtos: 1,Acetato De Dexametasona Dexametasona Fumarato De Clemastina - Outros
Acetato De Dexametasona Fosfato Dissodico De Dexametasona,Outros,1,DUO-DECADRON,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,baixa,baixa,Medicamento: Acetato De Dexametasona Fosfato Dissodico De Dexametasona | Principio Ativo: ACETATO DE DEXAMETASONA +  FOSFATO DISSÓDICO DE DEXAMETASONA | Classe Terapeutica: GLICOCORTICOIDES SISTEMICOS | Categoria: Outros | Produtos Comerciais: DUO-DECADRON | Total de Produtos: 1,Acetato De Dexametasona Fosfato Dissodico De Dexametasona - Outros
Acetato De Dextroalfatocoferol Biotina Boro Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Nitrato De Tiamina Palmitato De Retinol Pantotenato De Calcio Riboflavina Sulfato De Manganes Fosfato De Calcio Dibasico Di-Hidratado Molibdato De Sodio Diidratado Acido Ascorbico,Vitaminas,1,MINEROVIT,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Dextroalfatocoferol Biotina Boro Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Nitrato De Tiamina Palmitato De Retinol Pantotenato De Calcio Riboflavina Sulfato De Manganes Fosfato De Calcio Dibasico Di-Hidratado Molibdato De Sodio Diidratado Acido Ascorbico | Principio Ativo: ACETATO DE DEXTROALFATOCOFEROL +  BIOTINA +  BORO +  CARBONATO DE CÁLCIO +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FUMARATO FERROSO +  NICOTINAMIDA +  NITRATO DE TIAMINA +  PALMITATO DE RETINOL +  PANTOTENATO DE CALCIO +  RIBOFLAVINA +  SULFATO DE MANGANÊS +  FOSFATO DE CÁLCIO DIBÁSICO DI-HIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO +  ÁCIDO ASCÓRBICO +  | Classe Terapeutica: VITAMINAS E SUPLEMENTOS MINERAIS | Categoria: Vitaminas | Produtos Comerciais: MINEROVIT | Total de Produtos: 1,Acetato De Dextroalfatocoferol Biotina Boro Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Nitrato De Tiamina Palmitato De Retinol Pantotenato De Calcio Riboflavina Sulfato De Manganes Fosfato De Calcio Dibasico Di-Hidratado Molibdato De Sodio Diidratado Acido Ascorbico - Vitaminas
Acetato De Dextroalfatocoferol Cianocobalamina Cloridrato De Piridoxina Nicotinamida Nitrato De Tiamina Pantotenato De Calcio Riboflavina Acido Ascorbico Acido Folico Oxido Cuprico Oxido De Zinco,Vitaminas,1,TRESSLIV 600 C/ZINCO,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Dextroalfatocoferol Cianocobalamina Cloridrato De Piridoxina Nicotinamida Nitrato De Tiamina Pantotenato De Calcio Riboflavina Acido Ascorbico Acido Folico Oxido Cuprico Oxido De Zinco | Principio Ativo: ACETATO DE DEXTROALFATOCOFEROL +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  NICOTINAMIDA +  NITRATO DE TIAMINA +  PANTOTENATO DE CÁLCIO +  RIBOFLAVINA +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO CÚPRICO +  ÓXIDO DE ZINCO | Classe Terapeutica: VITAMINAS E SUPLEMENTOS MINERAIS | Categoria: Vitaminas | Produtos Comerciais: TRESSLIV 600 C/ZINCO | Total de Produtos: 1,Acetato De Dextroalfatocoferol Cianocobalamina Cloridrato De Piridoxina Nicotinamida Nitrato De Tiamina Pantotenato De Calcio Riboflavina Acido Ascorbico Acido Folico Oxido Cuprico Oxido De Zinco - Vitaminas
Acetato De Dextroalfatocoferol Acido Folico,Vitaminas,1,DTN-FOL,49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Dextroalfatocoferol Acido Folico | Principio Ativo: ACETATO DE DEXTROALFATOCOFEROL +  ÁCIDO FÓLICO | Classe Terapeutica: VITAMINAS E SUPLEMENTOS MINERAIS | Categoria: Vitaminas | Produtos Comerciais: DTN-FOL | Total de Produtos: 1,Acetato De Dextroalfatocoferol Acido Folico - Vitaminas
Acetato De Fludrocortisona,Vitaminas,1,FLORINEFE,02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Fludrocortisona | Principio Ativo: ACETATO DE FLUDROCORTISONA | Classe Terapeutica: MINERALOCORTICOIDES | Categoria: Vitaminas | Produtos Comerciais: FLORINEFE | Total de Produtos: 1,Acetato De Fludrocortisona - Vitaminas
Acetato De Fluormetolona,Dermatologico,3,FLORATE; FLUTINOL; OFTRATE,56994502000130 - NOVARTIS BIOCIENCIAS S.A; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.; 17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,baixa,media,Medicamento: Acetato De Fluormetolona | Principio Ativo: ACETATO DE FLUORMETOLONA | Classe Terapeutica: GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES | Categoria: Dermatologico | Produtos Comerciais: FLORATE; FLUTINOL; OFTRATE | Total de Produtos: 3,Acetato De Fluormetolona - Dermatologico
Acetato De Ganirrelix,Outros,1,ORGALUTRAN,45987013000134 - ORGANON FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Acetato De Ganirrelix | Principio Ativo: ACETATO DE GANIRRELIX | Classe Terapeutica: OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF | Categoria: Outros | Produtos Comerciais: ORGALUTRAN | Total de Produtos: 1,Acetato De Ganirrelix - Outros
Acetato De Glatiramer,Analgesico,4,COPAXONE; acetato de glatirâmer; GLAMETIX,05333542000108 - TEVA FARMACÊUTICA LTDA.; 04748181000947 - LABORATÓRIOS BAGÓ DO BRASIL S/A,baixa,media,Medicamento: Acetato De Glatiramer | Principio Ativo: ACETATO DE GLATIRÂMER | Classe Terapeutica: IMUNOMODULADOR | Categoria: Analgesico | Produtos Comerciais: COPAXONE; acetato de glatirâmer; GLAMETIX | Total de Produtos: 4,Acetato De Glatiramer - Analgesico
Acetato De Gosserrelina,Outros,1,ZOLADEX,60318797000100 - ASTRAZENECA DO BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Gosserrelina | Principio Ativo: ACETATO DE GOSSERRELINA | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: ZOLADEX | Total de Produtos: 1,Acetato De Gosserrelina - Outros
Acetato De Hidrocortisona,Outros,4,ACETATO DE HIDROCORTISONA; CORTIGEN; acetato de hidrocortisona,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,baixa,media,Medicamento: Acetato De Hidrocortisona | Principio Ativo: ACETATO DE HIDROCORTISONA | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: ACETATO DE HIDROCORTISONA; CORTIGEN; acetato de hidrocortisona | Total de Produtos: 4,Acetato De Hidrocortisona - Outros
Acetato De Hidrocortisona Lidocaina Oxido De Zinco Subacetato De Aluminio,Dermatologico,1,XYLOPROCT,02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Hidrocortisona Lidocaina Oxido De Zinco Subacetato De Aluminio | Principio Ativo: ACETATO DE HIDROCORTISONA +  LIDOCAÍNA +  OXIDO DE ZINCO +  SUBACETATO DE ALUMÍNIO | Classe Terapeutica: ANTI-HEMORROIDARIOS TOPICOS | Categoria: Dermatologico | Produtos Comerciais: XYLOPROCT | Total de Produtos: 1,Acetato De Hidrocortisona Lidocaina Oxido De Zinco Subacetato De Aluminio - Dermatologico
Acetato De Hidrocortisona Succinato Sodico De Hidrocortisona,Outros,1,CORTISONAL,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,baixa,baixa,Medicamento: Acetato De Hidrocortisona Succinato Sodico De Hidrocortisona | Principio Ativo: ACETATO DE HIDROCORTISONA +  SUCCINATO SÓDICO DE HIDROCORTISONA | Classe Terapeutica: ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS | Categoria: Outros | Produtos Comerciais: CORTISONAL | Total de Produtos: 1,Acetato De Hidrocortisona Succinato Sodico De Hidrocortisona - Outros
Acetato De Hidrocortisona Sulfato De Neomicina,Dermatologico,1,GINGILONE,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,baixa,Medicamento: Acetato De Hidrocortisona Sulfato De Neomicina | Principio Ativo: ACETATO DE HIDROCORTISONA +  SULFATO DE NEOMICINA | Classe Terapeutica: ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE | Categoria: Dermatologico | Produtos Comerciais: GINGILONE | Total de Produtos: 1,Acetato De Hidrocortisona Sulfato De Neomicina - Dermatologico
